LYBNo|SaleDate|ShopCode|SalesMemoNo|GTIN|GTINDescription|QuantitySold|NetSales|ExtractionDate
LYB001577235|2024-02-22|0606|145014488|38284|BODY BUTTER PEAR 200ML XM23 A0X|2.0|193.5|2024-02-22
LYB010494651|2024-02-22|0315|121019181|23583|SHOWER CREAM ALMOND MILK 250ML A0X RENO 2022|1.0|12.0|2024-02-22
LYB008274070|2024-02-22|0402|5108167|15535|HAND CREAM BRITISH ROSE 30ML A0X RENO 2021|1.0|26.25|2024-02-22
LYB000724331|2024-02-22|0359|23014883|26966|MOISTURE CREAM VIT E 50ML A0X RENO 2023|1.0|89.0|2024-02-22
LYB001741991|2024-02-22|0904|4607960|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB008806455|2024-02-22|0317|88014398|18637|MESH POUCH HONEY A0|1.0|0.0|2024-02-22
LYB010883563|2024-02-22|0353|44012007|17989|CLEANSER EDELWEISS 100ML A0X|1.0|71.0|2024-02-22
LYB006426325|2024-02-22|0361|69012783|25656|SHOWER CREAM ALMOND MILK 60ML A0X RENO 2022|1.0|18.7|2024-02-22
LYB010883703|2024-02-22|8701|19805595|17626|ESSN OIL BLEND BERG & MANDRN BOOST 20ML A0X|1.0|111.75|2024-02-22
LYB009852248|2024-02-22|0710|86016490|37511|TONER TEA TREE 250ML A0X 2023 (x)|1.0|48.75|2024-02-22
LYB002014876|2024-02-22|0610|64014039|98110|EDP WHITE MUSK 30ML A0X RENO 2021|1.0|129.0|2024-02-22
LYB002691693|2024-02-22|0359|23014882|25656|SHOWER CREAM ALMOND MILK 60ML A0X RENO 2022|1.0|18.7|2024-02-22
LYB010883651|2024-02-22|0702|153017420|10304|FRESH NUDE FOUNDATION TAN 1N 30ML A0X 2021|1.0|64.5|2024-02-22
LYB000639130|2024-02-22|0368|137030544|23584|SHOWER CREAM SHEA 250ML A0X RENO 2022|2.0|63.0|2024-02-22
LYB010865220|2024-02-22|0327|21014780|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB000315805|2024-02-22|0503|18808338|10304|FRESH NUDE FOUNDATION TAN 1N 30ML A0X 2021|1.0|103.2|2024-02-22
LYB009190494|2024-02-22|0604|2710536|325|2023 GENERIC MINI GIFT PAPER BAG|1.0|0.5|2024-02-22
LYB006503721|2024-02-22|0902|23305672|37677|BODY SCRUB SHEA 240ML A0X RENO 2023|1.0|88.5|2024-02-22
